1	10	50,000	6,000,000
2	20	50,000	1,000,000
3	30	50,000	1,000,000
4	40	50,000	1,000,000
5	50	50,000	5,000,000
6	60	50,000	1,000,000
7	70	50,000	1,000,000
8	80	50,000	1,000,000
9	90	50,000	1,000,000
10	100	50,000	5,000,000
11	110	50,000	1,000,000
12	120	50,000	1,000,000
13	130	50,000	1,000,000
14	140	50,000	1,000,000
15	150	50,000	5,000,000
16	160	50,000	1,000,000
17	170	50,000	1,000,000
18	180	50,000	1,000,000
19	190	50,000	1,000,000
20	200	50,000	5,000,000
21	210	50,000	1,000,000
22	220	50,000	1,000,000
23	230	50,000	1,000,000
24	240	50,000	1,000,000
25	250	50,000	5,000,000
26	260	70,000	1,000,000
27	270	70,000	1,000,000
28	280	70,000	1,000,000
29	290	70,000	1,000,000
30	300	70,000	10,000,000
31	310	70,000	1,000,000
32	320	70,000	1,000,000
33	330	70,000	1,000,000
34	340	70,000	1,000,000
35	350	70,000	10,000,000
36	360	70,000	1,000,000
37	370	70,000	1,000,000
38	380	70,000	1,000,000
39	390	70,000	1,000,000
40	400	70,000	10,000,000
41	410	70,000	1,000,000
42	420	70,000	1,000,000
43	430	70,000	1,000,000
44	440	70,000	1,000,000
45	450	70,000	10,000,000
46	460	70,000	1,000,000
47	470	70,000	1,000,000
48	480	70,000	1,000,000
49	490	70,000	1,000,000
50	500	70,000	30,000,000
